rank,date_posted,definition,usage_example,up_votes,down_votes,posted_by,,
336,2019-06-05,"A person, man or woman, who stands for the social political and economic equality of the sexes. They believe that men and women should be treated as equal human beings. Someone who identifies themselves as a feminist is someone of great courage, since the stereotype of this word has been twisted into something of opposite meaning. Small minded people believe feminism is only about advocating for women's rights over mens, or ""to find fault in everything a male does whilst believing all females can do no wrong"". This definition is only applied to 'Radical Feminists' who have a far different objective and do not stand for feminism. People are so angry to have a movement for the equality in the sexes that they redefined the word to have a terrible meaning that few truly believe.","Carmen went to the Pro-Choice March this Saturday, and she also went to the Awareness for Toxic Masculinity March as well, she must be a feminist. ""Of course she is! She advocates for rights in both sexes. The right for the freedom to a women's body and the awareness to the mentally straining stereotypes enforced on men.""",1,3,Katrina Mary,,
337,2017-11-23,A feminist is a person who believes all genders should be treated equally.,Tim was a feminist because women get 75 cents to every dollar a man gets.,1,3,Yiztu,,
338,2018-03-29,"A feminist is a person who believes that both misandry and misogyny are bad. Feminism is a movement that started in the 1960s and has continued into the modern world. Feminists are often misconstrued as 'man-haters', 'bitches' and 'women supremacists', however, these perspectives are formed in the minds of people who were misguided into believing that feminists are fascists. Feminism in its true form is a fight for equality and respect. Women and Men are different, but when doing the same jobs, putting in the same effort, there is no reason for there to be women being paid 70% of what men get in the workplace.","For those who were raised to believe that people who are feminists are evil or terrible people, simply google 'Mouvement de libération des femmes' - it was the peaceful protest of feminists in 1970s France. They were a group of feminists who fought for equality in the world. They broke the mould of women being the homemakers, of their destiny being 'to get married and have children'. List of true Feminists: Michelle Obama, Ellen Degeneres, Neil Patrick Harris, All of the Suffragettes, Simone de Beauvoir, Eleanor Roosevelt, Mark Ruffalo, Ashton Kutcher, Ryan Gosling, Harry Styles, Andy Samberg, ",1,3,Alaric47,,
339,2018-12-15,"An anagram for ""I fist men"" hence the logo being a fist through a hole","The patriarchy says men are givers, not receivers, but I'm a feminist and I say otherwise.",1,3,UpDoor,,
340,2020-09-03,"all the definitions here are absolute fucking bullshit. a feminist is a person who believes women and men should have equal rights. that's literally it. all the people writing definitions on this page are pissbabies who think women only exist to have sex with them, and now they're fucked off that people are actively taking a stand against that because it means they can't openly objectify women's bodies anymore.","person: yeah, i'm a feminist! i think women and men should have equal rights - some random guy: WHEN WILL THIS MISANDRY END???? FEMINISTS ARE SO SEXIST AHAHAHAHA MAKE ME A SANDWICH",1,3,lydia grace,,
341,2019-05-31,"A person who believes in the political, social, economic, and personal equality of the sexes.",I am a feminist because I don't want to live like I'm in A Handmaid's Tale.,1,3,jabberbox1234,,
342,2020-04-13,"A person of any gender, who chooses to believe men are equal to women and women should have as much choice as a man has.",I am a feminist because men shouldn't be allowed to treat women disrespectfully and abuse against men shouldn't be dismissed,1,3,Votechange,,
343,2019-03-07,"A woman or man who believes it should be equal rights for both gender. That nether gender should have special treatment or be treated any differently because of there gender and that a woman should not be sexualized and thought of as property to a man. Women should not be thought of as a ""slut"" or a ""hoe"" just because she is wearing a tight top and shorts, no means no and men and women need to understand that rape is not okay, and feminist (men and women) are trying to stop it and make the world a better place where everyone has equal rights.","Dan- ""omg I heard that girls a feminist lol"" Rob- ""ya same. Yanno I'm a feminist?"" Dan- ""guys can't be feminists, that just means you hate men"" Rob- ""hell ya I can be a feminist. It dose not mean I hate men, I just believe in equal rights""",1,3,Feminisity101,,
344,2018-01-13,"someone, of either gender, who believes that men can express emotion and women can work in ""masculine"" jobs for equal pay. Non-feminist parent:""stop being a girl, boys dont cry""","son: "" she broke my heart dude""",1,3,wigglemytoesinthecushion,,
345,2013-02-28,"Generally a woman (though not always), who acts as an activist for Women's rights. There are three general types of feminists: Liberal, Socialist, and Radical Feminism. Liberal Feminists generally garner the most support, and attempt to rectify injustices suffered by women through conventional means. Socialist Feminists are a more radical form of liberal feminist that believe only a Socialist/Communist/Marxist revolution can truly stop gender inequality. Radical Feminists are extremely left wing, believing that only that the universal, surgical elimination of gender may bring about gender equality. Disclaimer: I am neither a female nor a feminist, simply someone wanting to give an unbiased definition of a word with a lot of exaggeration on both sides of the fence.","Liberal Feminist: Jenny, a liberal feminist, proudly supports her cause and frequently goes to rallies and protests. Socialist Feminist: ""DOWN WITH THE CAPITALIST EXPLOITATION OF WOMEN!"" Shouts Molly, a Socialist Feminist. Radical Feminist: ""Only through the surgical elimination of gender and the destruction of motherhood can all people be truly equal!"", says Paula, a Radical Feminist.",22,231,TheGrammargestapo,,
346,2014-12-28,"A person who believes in the social, political, and economical equality of the sexes. A feminist can be either a man or woman.",I am a feminist because I believe men and women should be equal,19,266,giraffe112,,
347,2015-11-02,"( Noun) Someone who believes that all genders are equal and that all genders should be treated the same as any other gender. (this includes transgender, Cisgender, Agender,gender fluid, ect.",I am a feminist.,9,110,BrokenGlass88,,
348,2018-12-15,"An anagram for ""I fist men"" hence the logo of a fist through a hole","The patriarchy says men are givers, not receivers, but I'm a feminist and I say otherwise",1,5,UpDoor,,
349,2017-12-10,"A person who subscribes to the horrid belief that women are human beings who deserve to be treated with respect and dignity, rather than gold-digging sluts, crazy bitches, harpy shrews, attention-seeking whores and vindictive liars who deserve to be insulted, degraded, ridiculed, abused, beaten, raped and murdered on a daily basis for the crime of having a vagina.","As the old feminist saying goes, ""If we get raped, it's our fault. If we get bashed, we must have provoked it. And if we raise our voices, we're nagging bitches.""",3,30,qbdkusoemv,,
350,2015-07-13,Being a feminist is when a woman being confident in who she is and doesn't need a mans opinion to justify between where she belongs. She is powerful and strong and believes that she is as equal as any man!,"Women are as equal as men, if this makes me a feminist so be it!",13,204,The Joker,,
351,2014-10-19,An individual who dares to support and/or advocate for gender equality.,Did you see that feminist over there? They think that people should be equal! How...how... scandalous!,15,271,Fish-k,,
352,2013-06-12,1 - Definition : A Feminist is a person that Believes in equal gender rights and it is the act of treating man and women as equals on everyday life. Most people are by definition feminists (in contrary to their own belief). 2 - Political Stance : People that refer to themselves as feminists because they think that women are oppressed and treated worse compared to men. Most people that refer to themselves as feminists in the western world are the exact opposite of the word feminist because they believe woman are oppressed or because they treat men different from women (henceforth their political agenda to improve women rights). Yes. The Political Stance on improving women rights that is called feminism (2) is technically anti-feministic (1) because it states that woman are treated unequal and because the stanceholder treats woman and man differently from eachother.,"(most likely a feminist) : ""I hate feminism because their all a bunch of man-hating dykes."" (anti-feminist) : ""Everybody hates me because I am a woman.""",15,281,Actual Interpretation,,
353,2015-03-07,"Someone who thinks logically about men and women having equal rights and women being treated as equals. Not to be confused with ""feminazi""",I'm a feminist but that doesn't mean I hate men,14,270,NuclearMuffinz,,
354,2015-05-25,"A feminist is a person who believes in equality for all, including race, sex, and gender. Their main focus is to raise women's rights, although it is equality. They also wish for people to express themselves with campaigns abolishing 'slut-shaming', the societal rejection of traditionally feminine clothing and/or emotional states shown on/by men, the female nipple ban on Instagram and other social media, and clothing/dress codes, to list several examples. They mostly are opposed to the ideology of a central patriarchy, but do not wish for there to be misandry OR misogyny.","The patriarchal society is inclusive to people largely rejecting ideas of traditionally feminine items of clothing on men, but feminists call an end to that.",11,209,elsewhereinabox,,
355,2015-07-18,"a person who believes in the social, political and economic equality of the sexes","(1) = Im a feminist, because i beleave that we are all equal! (2) = Okay? Who the fuck are you...",10,208,young east african girl,,
356,2020-08-24,A person of any gender who believes that any gender should display feminine traits and not be shamed for it.,We believe in feminist rights.,0,1,ReindeerFloattilla,,
357,2020-11-10,A person who simply seek for equal rights.,"So...Equal rights, equal fights. If a girl ever punched you, you gotta return it. If you ever heard anyone boasting about ""be a gentleman"", ""ladies first"" or anything female privileged, punch them and run, don't hesitate. John: Damn you punched her jaw off? Damn, you're a freakin' feminists bro.",0,0,KazumaKONOSUBA,,
358,2020-07-22,a person who supports feminism,"mason: i support women and all but like can't only women be feminists; a feminist: actually anyone can be a feminist it's about supporting women and wanting to be treated the same as a man and get everything a man gets for example equal pay, and the choice to do what we want with our bodies with out getting bashed on it by straight white men and Karens",0,5,badbitty420,,
359,2020-11-15,"A person who works and supports equal gender rights. No matter the gender, they believe all gender is equal and none should be treated as inferior. They support women's rights in making the world a gender equal place.","I'm a feminist, I support equal rights!",0,0,ari loves booty,,
360,2020-04-17,Social and political movements and ideologies that want to achieve equality for ALL sexes. Real feminists don't hate men,"Madison Beer is an open feminist, but you wouldn't hate on her because she is Madison Beer.",0,0,thanksforcomingtomytedtalk,,
361,2020-04-14,Someone who believes in the equality of the sexes,Barack Obama is a feminist,0,0,TooLesbianToFunction,,
362,2020-09-22,"A female who tries to tell you that females have historically faced more atrocities than males is plain full of shit, and has her own interests and self promotion in mind, not that of humanity. A female that thinks males haven't been butchered, beheaded, drawn and quartered, hanged, racked, boiled alive, sawed in half, burned alive, crucified, raped, tortured, or filled mass graves like numbers in the same numbers or many times higher numbers has forgotten history. Saying that males are oppressed, but females have been more oppressed is about the same thing, except it eliminates being held accountable for what she said about females having it worse throughout history (somebody letting her know she's full of shit) and still focusing attention on herself. Males lead violent, atrocious lives and it's never been a big deal, females have been more sheltered from it than any group throughout history, so that when atrocities do happen to females, the world stops to pay attention for some reason. It's rare to find a female child that got ass whoopings throughout her childhood from an authority figure, since nobody is more sheltered by and from authority figures and authoritarian values than females. Females who think their lives or childhoods were harder than their male counterparts because they can have children have forgotten what childhood was like, and have never really given much thought to the matter, they have their own interest in mind.","The girl didn't really have feminist interests, human interests, or any other interests than her own in mind with what she was trying to sell. She just told people she did.",0,1,Toejam Sr.,,
363,2020-11-30,A dumass women who thinks she knows everything but just wants more money,"All women are feminist and must stand up! ""Man, that sucks but I don't remember asking""",0,1,FlimFlop,,
